country,year,birth_rate_per_thousand
Venezuela (Bolivarian Republic of),1985,29.3
Venezuela (Bolivarian Republic of),1995,23.8
Venezuela (Bolivarian Republic of),2005,25.1
Venezuela (Bolivarian Republic of),2008,20.8
Viet Nam,1976,39.5
Viet Nam,1989,30.0
Viet Nam,1996,19.2
Viet Nam,2006,17.4
Viet Nam,2009,17.6
Wallis and Futuna Islands,1970,42.1
Wallis and Futuna Islands,1978,36.6
Wallis and Futuna Islands,1996,21.2
Wallis and Futuna Islands,2005,15.7
Wallis and Futuna Islands,2008,13.8
Western Sahara,1971,46.1
Western Sahara,1974,23.4
Yemen,1977,58.0
Yemen,1990,42.3
Yemen,1994,47.0
Yemen,1996,42.5
Yemen,2004,39.7
Zambia,1969,47.7
Zambia,1990,45.8
Zambia,1995,45.5
Zambia,2000,43.3
Zambia,2006,43.6
Zimbabwe,1969,47.0
Zimbabwe,1982,39.5
Zimbabwe,1993,31.8
Zimbabwe,2004,31.0
Zimbabwe,2009,34.1
